theDate,labor,liberal,greens,onp,ind
2019-12-08,0.29,0.4,0.12,0.13,0
2020-01-11,0.34,0.37,0.09,0.07,0.06
2020-01-25,0.31,0.4,0.07,0.1,0.05
2020-02-08,0.35,0.32,0.12,0.08,0.06
2020-02-22,0.33,0.38,0.11,0.05,0.08
2020-03-08,0.25,0.39,0.1,0.11,0.07
2020-03-21,0.29,0.4,0.11,0.04,0.07
2020-03-28,0.29,0.39,0.1,0.08,0.09
2020-04-05,0.35,0.37,0.11,0.03,0.07
2020-05-03,0.35,0.35,0.1,0.04,0.09
2020-05-03,0.31,0.39,0.13,0.05,0.06
2020-05-10,0.25,0.47,0.11,0.04,0.08
2020-05-16,0.28,0.42,0.13,0.11,0
2020-05-16,0.31,0.39,0.08,0.04,0.1
2020-05-23,0.29,0.4,0.11,0.04,0.07
2020-05-23,0.32,0.41,0.08,0.07,0.08
2020-05-30,0.29,0.39,0.1,0.08,0.09
2020-05-31,0.27,0.41,0.1,0.04,0.1
2020-06-07,0.32,0.42,0.09,0.03,0.1
2020-06-14,0.3,0.41,0.08,0.05,0.06
2020-06-21,0.33,0.39,0.12,0.05,0.07
2020-06-28,0.31,0.42,0.08,0.05,0.08
2020-07-12,0.28,0.42,0.11,0.04,0.06
2020-07-26,0.34,0.35,0.12,0.05,0.08
2020-08-08,0.27,0.46,0.1,0.11,0
2020-08-09,0.26,0.44,0.08,0.05,0.1
2020-08-23,0.33,0.39,0.09,0.07,0.09
2020-09-06,0.3,0.38,0.1,0.03,0.11
2020-09-21,0.29,0.4,0.1,0.05,0.12
2020-10-05,0.33,0.34,0.11,0.04,0.1
2020-10-12,0.29,0.44,0.08,0.04,0.11
2020-10-19,0.35,0.38,0.09,0.03,0.09
2020-11-02,0.36,0.38,0.09,0.03,0.11
2020-11-16,0.35,0.33,0.12,0.05,0.06
2020-11-28,0.29,0.45,0.12,0.09,0
2020-11-30,0.43,0.3,0.08,0.03,0.08
2020-12-14,0.35,0.32,0.09,0.03,0.15
2021-01-18,0.3,0.43,0.09,0.03,0.1
2021-02-01,0.35,0.32,0.13,0.03,0.09
2021-02-15,0.38,0.41,0.05,0.03,0.04
2021-03-01,0.36,0.32,0.12,0.06,0.04
2021-03-15,0.35,0.38,0.09,0.06,0.06
2021-03-27,0.35,0.42,0.1,0.08,0
2021-03-28,0.41,0.31,0.08,0.05,0.06
2021-04-12,0.42,0.33,0.08,0.06,0.07
2021-04-16,0.3,0.39,0.11,0.08,0
2021-04-26,0.3,0.38,0.11,0.03,0.08
2021-05-10,0.38,0.35,0.09,0.04,0.09
2021-05-16,0.3,0.41,0.12,0.07,0
2021-05-24,0.35,0.38,0.08,0.04,0.09
2021-06-06,0.39,0.35,0.09,0.06,0.04
2021-06-12,0.35,0.38,0.1,0.07,0
2021-06-20,0.34,0.38,0.1,0.04,0.07
2021-06-26,0.33,0.42,0.11,0.07,0
2021-07-04,0.4,0.32,0.08,0.07,0.07
2021-07-17,0.26,0.43,0.09,0.15,0
2021-07-18,0.4,0.32,0.11,0.04,0.06
2021-08-01,0.3,0.38,0.13,0.05,0.07
2021-08-15,0.32,0.4,0.11,0.06,0.07
2021-08-21,0.26,0.45,0.12,0.07,0
2021-08-29,0.35,0.36,0.1,0.06,0.07
2021-09-12,0.36,0.32,0.1,0.05,0.09
2021-09-18,0.33,0.42,0.09,0.08,0
2021-09-19,0.32,0.38,0.1,0.1,0
2021-09-26,0.35,0.38,0.09,0.05,0.08
2021-10-10,0.33,0.36,0.11,0.05,0.11
2021-10-24,0.33,0.36,0.11,0.11,0
2021-10-24,0.32,0.36,0.13,0.04,0.07
2021-11-07,0.36,0.3,0.1,0.05,0.13
2021-11-21,0.3,0.42,0.1,0.08,0
2021-11-21,0.41,0.3,0.13,0.04,0.06
2021-12-04,0.31,0.4,0.11,0.09,0
2021-12-06,0.34,0.36,0.14,0.05,0.06
2021-12-13,0.3,0.39,0.11,0.08,0.09
2022-01-15,0.26,0.34,0.15,0.13,0
2022-01-23,0.33,0.37,0.09,0.05,0.1
2022-02-06,0.36,0.33,0.11,0.04,0.08
2022-02-20,0.33,0.33,0.13,0.09,0
2022-02-20,0.39,0.34,0.11,0.1,0.02
2022-03-06,0.29,0.4,0.11,0.04,0.1
2022-03-12,0.32,0.4,0.1,0.08,0
2022-03-20,0.36,0.32,0.13,0.06,0.07
2022-04-03,0.35,0.3,0.13,0.06,0.07
2022-04-03,0.33,0.33,0.14,0.05,0
