theDate,labor,liberal,greens,onp,ind
2020-01-11,0.32,0.37,0.13,0.04,0.09
2020-01-25,0.3,0.37,0.15,0.03,0.09
2020-02-08,0.31,0.37,0.14,0.04,0.08
2020-02-22,0.33,0.37,0.14,0.04,0.07
2020-03-08,0.32,0.4,0.12,0.04,0.07
2020-03-21,0.32,0.42,0.12,0.04,0.07
2020-03-28,0.32,0.42,0.1,0.03,0.07
2020-04-05,0.35,0.41,0.09,0.04,0.07
2020-05-03,0.32,0.4,0.11,0.04,0.06
2020-05-03,0.32,0.41,0.1,0.05,0.07
2020-05-10,0.33,0.41,0.09,0.04,0.07
2020-05-16,0.31,0.44,0.12,0.09,0
2020-05-16,0.34,0.44,0.08,0.02,0.05
2020-05-23,0.32,0.42,0.12,0.04,0.07
2020-05-23,0.32,0.44,0.1,0.02,0.06
2020-05-30,0.32,0.42,0.1,0.03,0.07
2020-05-31,0.31,0.43,0.11,0.03,0.05
2020-06-07,0.32,0.42,0.11,0.04,0.05
2020-06-14,0.31,0.4,0.1,0.05,0.07
2020-06-21,0.33,0.39,0.1,0.05,0.08
2020-06-28,0.35,0.37,0.1,0.05,0.08
2020-07-12,0.35,0.38,0.1,0.05,0.08
2020-07-26,0.36,0.38,0.06,0.06,0.1
2020-08-08,0.31,0.45,0.13,0.08,0
2020-08-09,0.34,0.38,0.08,0.05,0.12
2020-08-23,0.34,0.41,0.07,0.04,0.11
2020-09-06,0.33,0.41,0.09,0.04,0.09
2020-09-21,0.34,0.44,0.07,0.03,0.07
2020-10-05,0.36,0.43,0.05,0.05,0.07
2020-10-12,0.31,0.48,0.07,0.04,0.07
2020-10-19,0.34,0.42,0.08,0.05,0.07
2020-11-02,0.32,0.44,0.08,0.04,0.07
2020-11-16,0.39,0.39,0.08,0.04,0.06
2020-11-28,0.32,0.43,0.13,0.07,0
2020-11-30,0.36,0.44,0.07,0.04,0.07
2020-12-14,0.36,0.42,0.07,0.05,0.06
2021-01-18,0.36,0.41,0.07,0.05,0.06
2021-02-01,0.39,0.38,0.05,0.04,0.08
2021-02-15,0.38,0.4,0.07,0.03,0.08
2021-03-01,0.37,0.4,0.06,0.03,0.09
2021-03-15,0.39,0.36,0.09,0.03,0.07
2021-03-27,0.42,0.4,0.1,0.04,0
2021-03-28,0.43,0.35,0.08,0.02,0.07
2021-04-12,0.45,0.33,0.08,0.01,0.06
2021-04-16,0.4,0.42,0.13,0.05,0
2021-04-26,0.46,0.36,0.07,0.01,0.05
2021-05-10,0.47,0.35,0.08,0.01,0.04
2021-05-16,0.38,0.44,0.11,0.03,0
2021-05-24,0.47,0.37,0.09,0.02,0.04
2021-06-06,0.48,0.34,0.1,0.03,0.04
2021-06-12,0.4,0.33,0.15,0.04,0
2021-06-20,0,0,0,0,0
2021-06-20,0.46,0.33,0.11,0.03,0.05
2021-06-26,0.41,0.39,0.1,0.05,0
2021-07-04,0.48,0.3,0.1,0.03,0.05
2021-07-17,0.39,0.33,0.21,0.02,0
2021-07-18,0.45,0.32,0.11,0.02,0.05
2021-08-01,0.44,0.33,0.08,0.03,0.07
2021-08-15,0.39,0.35,0.09,0.03,0.07
2021-08-29,0.39,0.37,0.08,0.03,0.07
2021-09-12,0.41,0.37,0.06,0.02,0.08
2021-09-18,0.42,0.37,0.1,0.05,0
2021-09-26,0.41,0.38,0.07,0.02,0.07
2021-10-10,0.41,0.38,0.06,0.03,0.07
2021-10-24,0.41,0.36,0.08,0.03,0.05
2021-11-07,0.38,0.38,0.08,0.04,0.05
2021-11-21,0.39,0.36,0.08,0.03,0.08
2021-12-04,0.44,0.36,0.07,0.06,0
2021-12-06,0.39,0.37,0.09,0.03,0.07
2021-12-13,0.43,0.33,0.1,0.02,0.07
2022-01-23,0.44,0.31,0.1,0.03,0.06
2022-02-06,0.42,0.35,0.08,0.02,0.06
2022-02-20,0.41,0.37,0.08,0.03,0.06
2022-03-06,0.39,0.37,0.1,0.04,0.07
2022-03-12,0.4,0.36,0.09,0.07,0
2022-03-20,0.4,0.35,0.1,0.04,0.06
2022-04-03,0.37,0.34,0.11,0.05,0.07
